match_id,match_no,stage,date,team_a,team_b,goals_a,goals_b,label,status,event_id,custom_id,slug,sofascore_name,sofascore_date_utc,sofascore_score,orientation,search_score,matched_query,tried_queries,error
GJ-68,,Group Stage,2026-06-27,Jordan,Argentina,1,3,Jordan 1-3 Argentina,matched,15186734,wVbsuWb,argentina-jordan,Jordan - Argentina,2026-06-28,1-3,same,596.383,Jordan Argentina,Jordan Argentina | Argentina Jordan | Jordan Argentina World Championship,
GK-69,,Group Stage,2026-06-27,Colombia,Portugal,0,0,Colombia 0-0 Portugal,matched,15186696,eUbsvWb,colombia-portugal,Colombia - Portugal,2026-06-27,0-0,same,593.4578,Colombia Portugal,Colombia Portugal | Portugal Colombia | Colombia Portugal World Championship,
GK-70,,Group Stage,2026-06-27,DR Congo,Uzbekistan,3,1,DR Congo 3-1 Uzbekistan,matched,15186717,yUbsyWb,dr-congo-uzbekistan,DR Congo - Uzbekistan,2026-06-27,3-1,same,526.2361,DR Congo Uzbekistan,DR Congo Uzbekistan | Uzbekistan DR Congo | Congo DR Uzbekistan | Uzbekistan Congo DR | Democratic Republic of Congo Uzbekistan | Uzbekistan Democratic Republic of Congo | Congo DR Uzbekistan World Championship,
GL-71,,Group Stage,2026-06-27,Panama,England,0,2,Panama 0-2 England,matched,15186676,nUbsodc,panama-england,Panama - England,2026-06-27,0-2,same,554.2876,Panama England,Panama England | England Panama | Panama England World Championship,
GL-72,,Group Stage,2026-06-27,Croatia,Ghana,2,1,Croatia 2-1 Ghana,matched,15186624,pUbsoVb,ghana-croatia,Croatia - Ghana,2026-06-27,2-1,same,533.8991,Croatia Ghana,Croatia Ghana | Ghana Croatia | Croatia Ghana World Championship,
M73,73,Round of 32,2026-06-28,South Africa,Canada,0,1,South Africa 0-1 Canada,matched,12813000,LUbscVb,canada-south-africa,South Africa - Canada,2026-06-28,0-1,same,517.5817,South Africa Canada,South Africa Canada | Canada South Africa | South Africa Canada World Championship,
M74,74,Round of 32,2026-06-29,Germany,Paraguay,1,1,Germany 1-1 Paraguay,matched,12813014,lUbsOVb,paraguay-germany,Germany - Paraguay,2026-06-29,1-1,same,551.7582,Germany Paraguay,Germany Paraguay | Paraguay Germany | Germany Paraguay World Championship,
M75,75,Round of 32,2026-06-29,Netherlands,Morocco,1,1,Netherlands 1-1 Morocco,matched,12812998,fUbsDVb,morocco-netherlands,Netherlands - Morocco,2026-06-30,1-1,same,578.9439,Netherlands Morocco,Netherlands Morocco | Morocco Netherlands | Netherlands Morocco World Championship,
M76,76,Round of 32,2026-06-29,Brazil,Japan,2,1,Brazil 2-1 Japan,matched,12813012,YUbsvVb,japan-brazil,Brazil - Japan,2026-06-29,2-1,same,616.2631,Brazil Japan,Brazil Japan | Japan Brazil | Brazil Japan World Championship,
M77,77,Round of 32,2026-06-30,France,Sweden,3,0,France 3-0 Sweden,matched,12812995,GObsNTb,sweden-france,France - Sweden,2026-06-30,3-0,same,574.4518,France Sweden,France Sweden | Sweden France | France Sweden World Championship,
