match_id,match_no,event_id,stage,date,team_a,team_b,period,group,stat_key,stat_name,home_value,away_value
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Attack,bigChanceMissed,Big chances missed,2,0
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Attack,accurateThroughBall,Through balls,1,0
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Attack,touchesInOppBox,Touches in penalty area,24,12
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Attack,fouledFinalThird,Fouled in final third,1,1
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Attack,offsides,Offsides,2,2
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Passes,accuratePasses,Accurate passes,469,230
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Passes,throwIns,Throw-ins,26,16
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Passes,finalThirdEntries,Final third entries,65,52
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Passes,finalThirdPhaseStatistic,Final third phase,106/140 (76%),54/105 (51%)
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Passes,accurateLongBalls,Long balls,30/61 (49%),23/69 (33%)
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Passes,accurateCross,Crosses,3/12 (25%),3/15 (20%)
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Duels,duelWonPercent,Duels,60%,40%
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Duels,dispossessed,Dispossessed,3,4
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Duels,groundDuelsPercentage,Ground duels,29/51 (57%),22/51 (43%)
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Duels,aerialDuelsPercentage,Aerial duels,27/43 (63%),16/43 (37%)
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Duels,dribblesPercentage,Dribbles,8/14 (57%),4/7 (57%)
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Defending,wonTacklePercent,Tackles won,57%,78%
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Defending,totalTackle,Total tackles,7,9
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Defending,interceptionWon,Interceptions,9,6
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Defending,ballRecovery,Recoveries,36,46
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Defending,totalClearance,Clearances,32,21
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Defending,errorsLeadToShot,Errors lead to a shot,1,0
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Goalkeeping,goalkeeperSaves,Total saves,3,4
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Goalkeeping,goalsPrevented,Goals prevented,1.07,0.06
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Goalkeeping,diveSaves,Big saves,1,1
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,ALL,Goalkeeping,goalKicks,Goal kicks,4,8
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Match overview,ballPossession,Ball possession,55%,45%
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Match overview,expectedGoals,Expected goals,0.77,0.29
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Match overview,bigChanceCreated,Big chances,0,0
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Match overview,totalShotsOnGoal,Total shots,8,2
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Match overview,goalkeeperSaves,Goalkeeper saves,0,1
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Match overview,cornerKicks,Corner kicks,3,3
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Match overview,fouls,Fouls,4,7
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Match overview,passes,Passes,243,195
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Match overview,totalTackle,Tackles,1,3
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Match overview,freeKicks,Free kicks,7,4
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Match overview,yellowCards,Yellow cards,0,0
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Shots,totalShotsOnGoal,Total shots,8,2
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Shots,shotsOnGoal,Shots on target,1,0
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Shots,hitWoodwork,Hit woodwork,0,0
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Shots,shotsOffGoal,Shots off target,4,2
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Shots,blockedScoringAttempt,Blocked shots,3,1
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Shots,totalShotsInsideBox,Shots inside box,4,1
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Shots,totalShotsOutsideBox,Shots outside box,4,1
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Attack,bigChanceScored,Big chances scored,0,0
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Attack,bigChanceMissed,Big chances missed,0,0
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Attack,accurateThroughBall,Through balls,1,0
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Attack,fouledFinalThird,Fouled in final third,1,0
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Attack,offsides,Offsides,2,1
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Passes,accuratePasses,Accurate passes,205,135
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Passes,throwIns,Throw-ins,14,7
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Passes,finalThirdEntries,Final third entries,34,35
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Passes,accurateLongBalls,Long balls,15/33 (45%),11/36 (31%)
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Passes,accurateCross,Crosses,1/7 (14%),3/10 (30%)
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Duels,duelWonPercent,Duels,60%,40%
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Duels,dispossessed,Dispossessed,1,0
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Duels,groundDuelsPercentage,Ground duels,10/18 (56%),8/18 (44%)
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Duels,aerialDuelsPercentage,Aerial duels,14/22 (64%),8/22 (36%)
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Duels,dribblesPercentage,Dribbles,3/5 (60%),1/2 (50%)
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Defending,wonTacklePercent,Tackles won,0%,100%
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Defending,totalTackle,Total tackles,1,3
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Defending,interceptionWon,Interceptions,4,5
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Defending,ballRecovery,Recoveries,19,26
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Defending,totalClearance,Clearances,19,12
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Goalkeeping,goalkeeperSaves,Total saves,0,1
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,1ST,Goalkeeping,goalKicks,Goal kicks,3,5
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,2ND,Match overview,ballPossession,Ball possession,69%,31%
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,2ND,Match overview,expectedGoals,Expected goals,1.53,0.54
GA-02,,15186720,Group Stage,2026-06-11,Korea Republic,Czechia,2ND,Match overview,bigChanceCreated,Big chances,4,1
